priority_rank,cve_id,version,service,cvss_score,severity,predicted_severity,priority_score,response_priority,attack_vector,attack_complexity,privileges_required,user_interaction,cwe,description
17,CVE-2011-3192,2.2.8,http,7.8,HIGH,HIGH,79.0,우선 대응,NETWORK,LOW,NONE,UNKNOWN,CWE-400,"The byterange filter in the Apache HTTP Server 1.3.x, 2.0.x through 2.0.64, and 2.2.x through 2.2.19 allows remote attackers to cause a denial of service (memory and CPU consumption) via a Range header that expresses multiple overlapping ranges, as exploited in the wild in August 2011, a different vulnerability than CVE-2007-0086."
18,CVE-2009-0265,9.4.2,domain,7.5,HIGH,MEDIUM,77.5,우선 대응,NETWORK,LOW,NONE,NONE,CWE-252,"Internet Systems Consortium (ISC) BIND 9.6.0 and earlier does not properly check the return value from the OpenSSL EVP_VerifyFinal function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077 and CVE-2009-0025."
19,CVE-2011-2688,2.2.8,http,7.5,HIGH,HIGH,77.5,우선 대응,NETWORK,LOW,NONE,UNKNOWN,CWE-89,SQL injection vulnerability in mysql/mysql-auth.pl in the mod_authnz_external module 3.2.5 and earlier for the Apache HTTP Server allows remote attackers to execute arbitrary SQL commands via the user field.
20,CVE-2009-4484,5.0.51a-3ubuntu5,mysql,7.5,HIGH,HIGH,77.5,우선 대응,NETWORK,LOW,NONE,UNKNOWN,CWE-787,"Multiple stack-based buffer overflows in the CertDecoder::GetName function in src/asn.cpp in TaoCrypt in yaSSL before 1.9.9, as used in mysqld in MySQL 5.0.x before 5.0.90, MySQL 5.1.x before 5.1.43, MySQL 5.5.x through 5.5.0-m2, and other products, allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption and daemon crash) by establishing an SSL connection and sending an X.509 client certificate with a crafted name field, as demonstrated by mysql_overflow1.py and the vd_mysql5 module in VulnDisco Pack Professional 8.11. NOTE: this was originally reported for MySQL 5.0.51a."
21,CVE-2016-10009,4.7p1 Debian 8ubuntu1,ssh,7.3,HIGH,MEDIUM,76.5,우선 대응,NETWORK,LOW,NONE,NONE,CWE-426,Untrusted search path vulnerability in ssh-agent.c in ssh-agent in OpenSSH before 7.4 allows remote attackers to execute arbitrary local PKCS#11 modules by leveraging control over a forwarded agent-socket.
22,CVE-2015-8325,4.7p1 Debian 8ubuntu1,ssh,7.8,HIGH,HIGH,75.9,우선 대응,LOCAL,LOW,LOW,NONE,CWE-1262,"The do_setup_env function in session.c in sshd in OpenSSH through 7.2p2, when the UseLogin feature is enabled and PAM is configured to read .pam_environment files in user home directories, allows local users to gain privileges by triggering a crafted environment for the /bin/login program, as demonstrated by an LD_PRELOAD environment variable."
23,CVE-2016-10012,4.7p1 Debian 8ubuntu1,ssh,7.8,HIGH,HIGH,75.9,우선 대응,LOCAL,LOW,LOW,NONE,CWE-119,"The shared memory manager (associated with pre-authentication compression) in sshd in OpenSSH before 7.4 does not ensure that a bounds check is enforced by all compilers, which might allows local users to gain privileges by leveraging access to a sandboxed privilege-separation process, related to the m_zback and m_zlib data structures."
24,CVE-2015-8705,9.4.2,domain,7.0,HIGH,HIGH,75.2,우선 대응,NETWORK,HIGH,NONE,NONE,CWE-20,"buffer.c in named in ISC BIND 9.10.x before 9.10.3-P3, when debug logging is enabled, allows remote attackers to cause a denial of service (REQUIRE assertion failure and daemon exit, or daemon crash) or possibly have unspecified other impact via (1) OPT data or (2) an ECS option."
25,CVE-2007-4723,2.2.8,http,7.5,HIGH,MEDIUM,72.5,우선 대응,NETWORK,LOW,NONE,UNKNOWN,CWE-22,"Directory traversal vulnerability in Ragnarok Online Control Panel 4.3.4a, when the Apache HTTP Server is used, allows remote attackers to bypass authentication via directory traversal sequences in a URI that ends with the name of a publicly available page, as demonstrated by a ""/...../"" sequence and an account_manage.php/login.php final component for reaching the protected account_manage.php page."
26,CVE-2014-2653,4.7p1 Debian 8ubuntu1,ssh,6.5,MEDIUM,MEDIUM,72.5,우선 대응,NETWORK,LOW,NONE,NONE,CWE-20,The verify_host_key function in sshconnect.c in the client in OpenSSH 6.6 and earlier allows remote servers to trigger the skipping of SSHFP DNS RR checking by presenting an unacceptable HostCertificate.
27,CVE-2008-4163,9.4.2,domain,7.8,HIGH,HIGH,72.0,우선 대응,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-20,"Unspecified vulnerability in ISC BIND 9.3.5-P2-W1, 9.4.2-P2-W1, and 9.5.0-P2-W1 on Windows allows remote attackers to cause a denial of service (UDP client handler termination) via unknown vectors."
28,CVE-2012-3817,9.4.2,domain,7.8,HIGH,HIGH,72.0,우선 대응,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-20,"ISC BIND 9.4.x, 9.5.x, 9.6.x, and 9.7.x before 9.7.6-P2; 9.8.x before 9.8.3-P2; 9.9.x before 9.9.1-P2; and 9.6-ESV before 9.6-ESV-R7-P2, when DNSSEC validation is enabled, does not properly initialize the failing-query cache, which allows remote attackers to cause a denial of service (assertion failure and daemon exit) by sending many queries."
29,CVE-2012-4244,9.4.2,domain,7.8,HIGH,HIGH,72.0,우선 대응,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"ISC BIND 9.x before 9.7.6-P3, 9.8.x before 9.8.3-P3, 9.9.x before 9.9.1-P3, and 9.4-ESV and 9.6-ESV before 9.6-ESV-R7-P3 allows remote attackers to cause a denial of service (assertion failure and named daemon exit) via a query for a long resource record."
30,CVE-2012-5166,9.4.2,domain,7.8,HIGH,HIGH,72.0,우선 대응,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-189,"ISC BIND 9.x before 9.7.6-P4, 9.8.x before 9.8.3-P4, 9.9.x before 9.9.1-P4, and 9.4-ESV and 9.6-ESV before 9.6-ESV-R7-P4 allows remote attackers to cause a denial of service (named daemon hang) via unspecified combinations of resource records."
31,CVE-2014-8500,9.4.2,domain,7.8,HIGH,HIGH,72.0,우선 대응,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-399,"ISC BIND 9.0.x through 9.8.x, 9.9.0 through 9.9.6, and 9.10.0 through 9.10.1 does not limit delegation chaining, which allows remote attackers to cause a denial of service (memory consumption and named crash) via a large or infinite number of referrals."
32,CVE-2015-5722,9.4.2,domain,7.8,HIGH,HIGH,72.0,우선 대응,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-20,buffer.c in named in ISC BIND 9.x before 9.9.7-P3 and 9.10.x before 9.10.2-P4 allows remote attackers to cause a denial of service (assertion failure and daemon exit) by creating a zone containing a malformed DNSSEC key and issuing a query for a name in that zone.
33,CVE-2012-0814,4.7p1 Debian 8ubuntu1,ssh,6.5,MEDIUM,MEDIUM,70.4,우선 대응,NETWORK,LOW,LOW,NONE,CWE-255,"The auth_parse_options function in auth-options.c in sshd in OpenSSH before 5.7 provides debug messages containing authorized_keys command options, which allows remote authenticated users to obtain potentially sensitive information by reading these messages, as demonstrated by the shared user account required by Gitolite.  NOTE: this can cross privilege boundaries because a user account may intentionally have no shell or filesystem access, and therefore may have no supported way to read an authorized_keys file in its own home directory."
34,CVE-2015-8704,9.4.2,domain,6.5,MEDIUM,MEDIUM,70.4,우선 대응,NETWORK,LOW,LOW,NONE,CWE-20,"apl_42.c in ISC BIND 9.x before 9.9.8-P3, 9.9.x, and 9.10.x before 9.10.3-P3 allows remote authenticated users to cause a denial of service (INSIST assertion failure and daemon exit) via a malformed Address Prefix List (APL) record."
35,CVE-2016-3115,4.7p1 Debian 8ubuntu1,ssh,6.4,MEDIUM,MEDIUM,69.9,검토 필요,NETWORK,LOW,LOW,NONE,CWE-93,"Multiple CRLF injection vulnerabilities in session.c in sshd in OpenSSH before 7.2p2 allow remote authenticated users to bypass intended shell-command restrictions via crafted X11 forwarding data, related to the (1) do_authenticated1 and (2) session_x11_req functions."
36,CVE-2016-1285,9.4.2,domain,6.8,MEDIUM,MEDIUM,69.2,검토 필요,NETWORK,HIGH,NONE,NONE,UNKNOWN,"named in ISC BIND 9.x before 9.9.8-P4 and 9.10.x before 9.10.3-P4 does not properly handle DNAME records when parsing fetch reply messages, which allows remote attackers to cause a denial of service (assertion failure and daemon exit) via a malformed packet to the rndc (aka control channel) interface, related to alist.c and sexpr.c."
37,CVE-2009-1890,2.2.8,http,7.1,HIGH,HIGH,67.5,검토 필요,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-400,"The stream_reqbody_cl function in mod_proxy_http.c in the mod_proxy module in the Apache HTTP Server before 2.3.3, when a reverse proxy is configured, does not properly handle an amount of streamed data that exceeds the Content-Length value, which allows remote attackers to cause a denial of service (CPU consumption) via crafted requests."
38,CVE-2009-1891,2.2.8,http,7.1,HIGH,HIGH,67.5,검토 필요,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-400,"The mod_deflate module in Apache httpd 2.2.11 and earlier compresses large files until completion even after the associated network connection is closed, which allows remote attackers to cause a denial of service (CPU consumption)."
39,CVE-2015-6564,4.7p1 Debian 8ubuntu1,ssh,7.0,HIGH,HIGH,67.1,검토 필요,LOCAL,HIGH,LOW,NONE,CWE-264,Use-after-free vulnerability in the mm_answer_pam_free_ctx function in monitor.c in sshd in OpenSSH before 7.0 on non-OpenBSD platforms might allow local users to gain privileges by leveraging control of the sshd uid to send an unexpectedly early MONITOR_REQ_PAM_FREE_CTX request.
40,CVE-2016-10010,4.7p1 Debian 8ubuntu1,ssh,7.0,HIGH,HIGH,67.1,검토 필요,LOCAL,HIGH,LOW,NONE,CWE-264,"sshd in OpenSSH before 7.4, when privilege separation is not used, creates forwarded Unix-domain sockets as root, which might allow local users to gain privileges via unspecified vectors, related to serverloop.c."
41,CVE-2015-5477,9.4.2,domain,7.8,HIGH,MEDIUM,67.0,검토 필요,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-19,named in ISC BIND 9.x before 9.9.7-P2 and 9.10.x before 9.10.2-P3 allows remote attackers to cause a denial of service (REQUIRE assertion failure and daemon exit) via TKEY queries.
42,CVE-2009-1956,2.2.8,http,6.4,MEDIUM,MEDIUM,67.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,CWE-189,Off-by-one error in the apr_brigade_vprintf function in Apache APR-util before 1.3.5 on big-endian platforms allows remote attackers to obtain sensitive information or cause a denial of service (application crash) via crafted input.
43,CVE-2016-20012,4.7p1 Debian 8ubuntu1,ssh,5.3,MEDIUM,MEDIUM,66.5,검토 필요,NETWORK,LOW,NONE,NONE,CWE-203,"OpenSSH through 8.7 allows remote attackers, who have a suspicion that a certain combination of username and public key is known to an SSH server, to test whether this suspicion is correct. This occurs because a challenge is sent only when that combination could be valid for a login session. NOTE: the vendor does not recognize user enumeration as a vulnerability for this product"
44,CVE-2017-15906,4.7p1 Debian 8ubuntu1,ssh,5.3,MEDIUM,MEDIUM,66.5,검토 필요,NETWORK,LOW,NONE,NONE,CWE-732,"The process_open function in sftp-server.c in OpenSSH before 7.6 does not properly prevent write operations in readonly mode, which allows attackers to create zero-length files."
45,CVE-2018-15919,4.7p1 Debian 8ubuntu1,ssh,5.3,MEDIUM,MEDIUM,66.5,검토 필요,NETWORK,LOW,NONE,NONE,CWE-200,"Remotely observable behaviour in auth-gss2.c in OpenSSH through 7.8 could be used by remote attackers to detect existence of users on a target system when GSS2 is in use. NOTE: the discoverer states 'We understand that the OpenSSH developers do not want to treat such a username enumeration (or ""oracle"") as a vulnerability.'"
46,CVE-2019-6109,4.7p1 Debian 8ubuntu1,ssh,6.8,MEDIUM,MEDIUM,66.2,검토 필요,NETWORK,HIGH,NONE,REQUIRED,CWE-116,"An issue was discovered in OpenSSH 7.9. Due to missing character encoding in the progress display, a malicious server (or Man-in-The-Middle attacker) can employ crafted object names to manipulate the client output, e.g., by using ANSI control codes to hide additional files being transferred. This affects refresh_progress_meter() in progressmeter.c."
47,CVE-2016-10011,4.7p1 Debian 8ubuntu1,ssh,6.2,MEDIUM,MEDIUM,65.0,검토 필요,LOCAL,LOW,NONE,NONE,CWE-119,"authfile.c in sshd in OpenSSH before 7.4 does not properly consider the effects of realloc on buffer contents, which might allow local users to obtain sensitive private-key information by leveraging access to a privilege-separated child process."
48,CVE-2010-1452,2.2.8,http,5.0,MEDIUM,HIGH,65.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,The (1) mod_cache and (2) mod_dav modules in the Apache HTTP Server 2.2.x before 2.2.16 allow remote attackers to cause a denial of service (process crash) via a request that lacks a path.
49,CVE-2016-6210,4.7p1 Debian 8ubuntu1,ssh,5.9,MEDIUM,MEDIUM,64.7,검토 필요,NETWORK,HIGH,NONE,NONE,CWE-200,"sshd in OpenSSH before 7.3, when SHA256 or SHA512 are used for user password hashing, uses BLOWFISH hashing on a static password when the username does not exist, which allows remote attackers to enumerate users by leveraging the timing difference between responses when a large password is provided."
50,CVE-2018-15473,4.7p1 Debian 8ubuntu1,ssh,5.9,MEDIUM,MEDIUM,64.7,검토 필요,NETWORK,HIGH,NONE,NONE,CWE-362,"OpenSSH through 7.7 is prone to a user enumeration vulnerability due to not delaying bailout for an invalid authenticating user until after the packet containing the request has been fully parsed, related to auth2-gss.c, auth2-hostbased.c, and auth2-pubkey.c."
51,CVE-2016-2775,9.4.2,domain,5.9,MEDIUM,MEDIUM,64.7,검토 필요,NETWORK,HIGH,NONE,NONE,CWE-20,"ISC BIND 9.x before 9.9.9-P2, 9.10.x before 9.10.4-P2, and 9.11.x before 9.11.0b2, when lwresd or the named lwres option is enabled, allows remote attackers to cause a denial of service (daemon crash) via a long request that uses the lightweight resolver protocol."
52,CVE-2013-2395,5.0.51a-3ubuntu5,mysql,6.8,MEDIUM,MEDIUM,62.0,검토 필요,NETWORK,LOW,SINGLE,UNKNOWN,UNKNOWN,"Unspecified vulnerability in Oracle MySQL 5.6.10 and earlier allows remote authenticated users to affect availability via unknown vectors related to Data Manipulation Language, a different vulnerability than CVE-2013-1567."
53,CVE-2013-5860,5.0.51a-3ubuntu5,mysql,6.8,MEDIUM,MEDIUM,62.0,검토 필요,NETWORK,LOW,SINGLE,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.14 and earlier allows remote authenticated users to affect availability via vectors related to GIS.
54,CVE-2010-0382,9.4.2,domain,7.6,HIGH,MEDIUM,61.2,검토 필요,NETWORK,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,"ISC BIND 9.0.x through 9.3.x, 9.4 before 9.4.3-P5, 9.5 before 9.5.2-P2, 9.6 before 9.6.1-P3, and 9.7.0 beta handles out-of-bailiwick data accompanying a secure response without re-fetching from the original source, which allows remote attackers to have an unspecified impact via a crafted response, aka Bug 20819.  NOTE: this vulnerability exists because of a regression during the fix for CVE-2009-4022."
55,CVE-2015-5986,9.4.2,domain,7.1,HIGH,HIGH,60.5,검토 필요,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-20,openpgpkey_61.c in named in ISC BIND 9.9.7 before 9.9.7-P3 and 9.10.x before 9.10.2-P4 allows remote attackers to cause a denial of service (REQUIRE assertion failure and daemon exit) via a crafted DNS response.
56,CVE-2015-8461,9.4.2,domain,7.1,HIGH,HIGH,60.5,검토 필요,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-362,Race condition in resolver.c in named in ISC BIND 9.9.8 before 9.9.8-P2 and 9.10.3 before 9.10.3-P2 allows remote attackers to cause a denial of service (INSIST assertion failure and daemon exit) via unspecified vectors.
57,CVE-2012-4414,5.0.51a-3ubuntu5,mysql,6.5,MEDIUM,MEDIUM,60.5,검토 필요,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-89,"Multiple SQL injection vulnerabilities in the replication code in Oracle MySQL possibly before 5.5.29, and MariaDB 5.1.x through 5.1.62, 5.2.x through 5.2.12, 5.3.x through 5.3.7, and 5.5.x through 5.5.25, allow remote authenticated users to execute arbitrary SQL commands via vectors related to the binary log.  NOTE: as of 20130116, Oracle has not commented on claims from a downstream vendor that the fix in MySQL 5.5.29 is incomplete."
58,CVE-2010-3614,9.4.2,domain,6.4,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-20,"named in ISC BIND 9.x before 9.6.2-P3, 9.7.x before 9.7.2-P3, 9.4-ESV before 9.4-ESV-R4, and 9.6-ESV before 9.6-ESV-R3 does not properly determine the security status of an NS RRset during a DNSKEY algorithm rollover, which might allow remote attackers to cause a denial of service (DNSSEC validation error) by triggering a rollover."
59,CVE-2012-3147,5.0.51a-3ubuntu5,mysql,6.4,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.5.26 and earlier allows remote attackers to affect integrity and availability, related to MySQL Client."
60,CVE-2008-2364,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,CWE-770,"The ap_proxy_http_process_response function in mod_proxy_http.c in the mod_proxy module in the Apache HTTP Server 2.0.63 and 2.2.8 does not limit the number of forwarded interim responses, which allows remote HTTP servers to cause a denial of service (memory consumption) via a large number of interim responses."
61,CVE-2009-3095,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"The mod_proxy_ftp module in the Apache HTTP Server allows remote attackers to bypass intended access restrictions and send arbitrary commands to an FTP server via vectors related to the embedding of these commands in the Authorization HTTP header, as demonstrated by a certain module in VulnDisco Pack Professional 8.11."
62,CVE-2009-3560,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,CWE-119,"The big2_toUtf8 function in lib/xmltok.c in libexpat in Expat 2.0.1, as used in the XML-Twig module for Perl, allows context-dependent attackers to cause a denial of service (application crash) via an XML document with malformed UTF-8 sequences that trigger a buffer over-read, related to the doProlog function in lib/xmlparse.c, a different vulnerability than CVE-2009-2625 and CVE-2009-3720."
63,CVE-2009-3720,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"The updatePosition function in lib/xmltok_impl.c in libexpat in Expat 2.0.1, as used in Python, PyXML, w3c-libwww, and other software, allows context-dependent attackers to cause a denial of service (application crash) via an XML document with crafted UTF-8 sequences that trigger a buffer over-read, a different vulnerability than CVE-2009-2625."
64,CVE-2010-0408,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"The ap_proxy_ajp_request function in mod_proxy_ajp.c in mod_proxy_ajp in the Apache HTTP Server 2.2.x before 2.2.15 does not properly handle certain situations in which a client sends no request body, which allows remote attackers to cause a denial of service (backend server outage) via a crafted request, related to use of a 500 error code instead of the appropriate 400 error code."
65,CVE-2010-1623,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,CWE-119,"Memory leak in the apr_brigade_split_line function in buckets/apr_brigade.c in the Apache Portable Runtime Utility library (aka APR-util) before 1.3.10, as used in the mod_reqtimeout module in the Apache HTTP Server and other software, allows remote attackers to cause a denial of service (memory consumption) via unspecified vectors related to the destruction of an APR bucket."
66,CVE-2011-3368,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,CWE-20,"The mod_proxy module in the Apache HTTP Server 1.3.x through 1.3.42, 2.0.x through 2.0.64, and 2.2.x through 2.2.21 does not properly interact with use of (1) RewriteRule and (2) ProxyPassMatch pattern matches for configuration of a reverse proxy, which allows remote attackers to send requests to intranet servers via a malformed URI containing an initial @ (at sign) character."
67,CVE-2009-2299,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"The Artofdefence Hyperguard Web Application Firewall (WAF) module before 2.5.5-11635, 3.0 before 3.0.3-11636, and 3.1 before 3.1.1-11637, a module for the Apache HTTP Server, allows remote attackers to cause a denial of service (memory consumption) via an HTTP request with a large Content-Length value but no POST data."
68,CVE-2011-4327,4.7p1 Debian 8ubuntu1,ssh,5.5,MEDIUM,MEDIUM,59.4,검토 필요,LOCAL,LOW,LOW,NONE,CWE-200,"ssh-keysign.c in ssh-keysign in OpenSSH before 5.8p2 on certain platforms executes ssh-rand-helper with unintended open file descriptors, which allows local users to obtain sensitive key information via the ptrace system call."
69,CVE-2018-20685,4.7p1 Debian 8ubuntu1,ssh,5.3,MEDIUM,MEDIUM,58.7,검토 필요,NETWORK,HIGH,NONE,REQUIRED,CWE-863,"In OpenSSH 7.9, scp.c in the scp client allows remote SSH servers to bypass intended access restrictions via the filename of . or an empty filename. The impact is modifying the permissions of the target directory on the client side."
