cve_id,cvss_score,severity,attack_vector,attack_complexity,privileges_required,user_interaction,cwe,description,service,version
CVE-2016-10009,7.3,HIGH,NETWORK,LOW,NONE,NONE,CWE-426,Untrusted search path vulnerability in ssh-agent.c in ssh-agent in OpenSSH before 7.4 allows remote attackers to execute arbitrary local PKCS#11 modules by leveraging control over a forwarded agent-socket.,ssh,4.7p1 Debian 8ubuntu1
CVE-2015-6564,7.0,HIGH,LOCAL,HIGH,LOW,NONE,CWE-264,Use-after-free vulnerability in the mm_answer_pam_free_ctx function in monitor.c in sshd in OpenSSH before 7.0 on non-OpenBSD platforms might allow local users to gain privileges by leveraging control of the sshd uid to send an unexpectedly early MONITOR_REQ_PAM_FREE_CTX request.,ssh,4.7p1 Debian 8ubuntu1
CVE-2016-10010,7.0,HIGH,LOCAL,HIGH,LOW,NONE,CWE-264,"sshd in OpenSSH before 7.4, when privilege separation is not used, creates forwarded Unix-domain sockets as root, which might allow local users to gain privileges via unspecified vectors, related to serverloop.c.",ssh,4.7p1 Debian 8ubuntu1
CVE-2019-6109,6.8,MEDIUM,NETWORK,HIGH,NONE,REQUIRED,CWE-116,"An issue was discovered in OpenSSH 7.9. Due to missing character encoding in the progress display, a malicious server (or Man-in-The-Middle attacker) can employ crafted object names to manipulate the client output, e.g., by using ANSI control codes to hide additional files being transferred. This affects refresh_progress_meter() in progressmeter.c.",ssh,4.7p1 Debian 8ubuntu1
CVE-2012-0814,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,CWE-255,"The auth_parse_options function in auth-options.c in sshd in OpenSSH before 5.7 provides debug messages containing authorized_keys command options, which allows remote authenticated users to obtain potentially sensitive information by reading these messages, as demonstrated by the shared user account required by Gitolite.  NOTE: this can cross privilege boundaries because a user account may intentionally have no shell or filesystem access, and therefore may have no supported way to read an authorized_keys file in its own home directory.",ssh,4.7p1 Debian 8ubuntu1
CVE-2014-2653,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,CWE-20,The verify_host_key function in sshconnect.c in the client in OpenSSH 6.6 and earlier allows remote servers to trigger the skipping of SSHFP DNS RR checking by presenting an unacceptable HostCertificate.,ssh,4.7p1 Debian 8ubuntu1
CVE-2015-6563,6.4,MEDIUM,LOCAL,HIGH,HIGH,NONE,CWE-20,"The monitor component in sshd in OpenSSH before 7.0 on non-OpenBSD platforms accepts extraneous username data in MONITOR_REQ_PAM_INIT_CTX requests, which allows local users to conduct impersonation attacks by leveraging any SSH login access in conjunction with control of the sshd uid to send a crafted MONITOR_REQ_PWNAM request, related to monitor.c and monitor_wrap.c.",ssh,4.7p1 Debian 8ubuntu1
CVE-2016-3115,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,CWE-93,"Multiple CRLF injection vulnerabilities in session.c in sshd in OpenSSH before 7.2p2 allow remote authenticated users to bypass intended shell-command restrictions via crafted X11 forwarding data, related to the (1) do_authenticated1 and (2) session_x11_req functions.",ssh,4.7p1 Debian 8ubuntu1
CVE-2016-10011,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,CWE-119,"authfile.c in sshd in OpenSSH before 7.4 does not properly consider the effects of realloc on buffer contents, which might allow local users to obtain sensitive private-key information by leveraging access to a privilege-separated child process.",ssh,4.7p1 Debian 8ubuntu1
CVE-2016-6210,5.9,MEDIUM,NETWORK,HIGH,NONE,NONE,CWE-200,"sshd in OpenSSH before 7.3, when SHA256 or SHA512 are used for user password hashing, uses BLOWFISH hashing on a static password when the username does not exist, which allows remote attackers to enumerate users by leveraging the timing difference between responses when a large password is provided.",ssh,4.7p1 Debian 8ubuntu1
CVE-2018-15473,5.9,MEDIUM,NETWORK,HIGH,NONE,NONE,CWE-362,"OpenSSH through 7.7 is prone to a user enumeration vulnerability due to not delaying bailout for an invalid authenticating user until after the packet containing the request has been fully parsed, related to auth2-gss.c, auth2-hostbased.c, and auth2-pubkey.c.",ssh,4.7p1 Debian 8ubuntu1
CVE-2011-4327,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,CWE-200,"ssh-keysign.c in ssh-keysign in OpenSSH before 5.8p2 on certain platforms executes ssh-rand-helper with unintended open file descriptors, which allows local users to obtain sensitive key information via the ptrace system call.",ssh,4.7p1 Debian 8ubuntu1
CVE-2016-20012,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,CWE-203,"OpenSSH through 8.7 allows remote attackers, who have a suspicion that a certain combination of username and public key is known to an SSH server, to test whether this suspicion is correct. This occurs because a challenge is sent only when that combination could be valid for a login session. NOTE: the vendor does not recognize user enumeration as a vulnerability for this product",ssh,4.7p1 Debian 8ubuntu1
CVE-2017-15906,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,CWE-732,"The process_open function in sftp-server.c in OpenSSH before 7.6 does not properly prevent write operations in readonly mode, which allows attackers to create zero-length files.",ssh,4.7p1 Debian 8ubuntu1
CVE-2018-15919,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,CWE-200,"Remotely observable behaviour in auth-gss2.c in OpenSSH through 7.8 could be used by remote attackers to detect existence of users on a target system when GSS2 is in use. NOTE: the discoverer states 'We understand that the OpenSSH developers do not want to treat such a username enumeration (or ""oracle"") as a vulnerability.'",ssh,4.7p1 Debian 8ubuntu1
CVE-2018-20685,5.3,MEDIUM,NETWORK,HIGH,NONE,REQUIRED,CWE-863,"In OpenSSH 7.9, scp.c in the scp client allows remote SSH servers to bypass intended access restrictions via the filename of . or an empty filename. The impact is modifying the permissions of the target directory on the client side.",ssh,4.7p1 Debian 8ubuntu1
CVE-2015-5352,4.3,MEDIUM,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-264,"The x11_open_helper function in channels.c in ssh in OpenSSH before 6.9, when ForwardX11Trusted mode is not used, lacks a check of the refusal deadline for X connections, which makes it easier for remote attackers to bypass intended access restrictions via a connection outside of the permitted time window.",ssh,4.7p1 Debian 8ubuntu1
CVE-2014-2532,4.2,MEDIUM,NETWORK,HIGH,LOW,NONE,CWE-20,"sshd in OpenSSH before 6.6 does not properly support wildcards on AcceptEnv lines in sshd_config, which allows remote attackers to bypass intended environment restrictions by using a substring located before a wildcard character.",ssh,4.7p1 Debian 8ubuntu1
CVE-2010-4755,4.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-399,"The (1) remote_glob function in sftp-glob.c and the (2) process_put function in sftp.c in OpenSSH 5.8 and earlier, as used in FreeBSD 7.3 and 8.1, NetBSD 5.0.2, OpenBSD 4.7, and other products, allow remote authenticated users to cause a denial of service (CPU and memory consumption) via crafted glob expressions that do not match any pathnames, as demonstrated by glob expressions in SSH_FXP_STAT requests to an sftp daemon, a different vulnerability than CVE-2010-2632.",ssh,4.7p1 Debian 8ubuntu1
CVE-2011-5000,3.5,LOW,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-189,"The ssh_gssapi_parse_ename function in gss-serv.c in OpenSSH 5.8 and earlier, when gssapi-with-mic authentication is enabled, allows remote authenticated users to cause a denial of service (memory consumption) via a large value in a certain length field.  NOTE: there may be limited scenarios in which this issue is relevant.",ssh,4.7p1 Debian 8ubuntu1
CVE-2008-3259,1.2,LOW,LOCAL,HIGH,UNKNOWN,UNKNOWN,CWE-200,"OpenSSH before 5.1 sets the SO_REUSEADDR socket option when the X11UseLocalhost configuration setting is disabled, which allows local users on some platforms to hijack the X11 forwarding port via a bind to a single IP address, as demonstrated on the HP-UX platform.",ssh,4.7p1 Debian 8ubuntu1
CVE-2008-0122,10.0,HIGH,NETWORK,LOW,NONE,UNKNOWN,CWE-189,"Off-by-one error in the inet_network function in libbind in ISC BIND 9.4.2 and earlier, as used in libc in FreeBSD 6.2 through 7.0-PRERELEASE, allows context-dependent attackers to cause a denial of service (crash) and possibly execute arbitrary code via crafted input that triggers memory corruption.",domain,9.4.2
CVE-2016-1286,8.6,HIGH,NETWORK,LOW,NONE,NONE,UNKNOWN,"named in ISC BIND 9.x before 9.9.8-P4 and 9.10.x before 9.10.3-P4 allows remote attackers to cause a denial of service (assertion failure and daemon exit) via a crafted signature record for a DNAME record, related to db.c and resolver.c.",domain,9.4.2
CVE-2012-1667,8.5,HIGH,NETWORK,LOW,NONE,UNKNOWN,CWE-189,"ISC BIND 9.x before 9.7.6-P1, 9.8.x before 9.8.3-P1, 9.9.x before 9.9.1-P1, and 9.4-ESV and 9.6-ESV before 9.6-ESV-R7-P1 does not properly handle resource records with a zero-length RDATA section, which allows remote DNS servers to cause a denial of service (daemon crash or data corruption) or obtain sensitive information from process memory via a crafted record.",domain,9.4.2
CVE-2008-4163,7.8,HIGH,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-20,"Unspecified vulnerability in ISC BIND 9.3.5-P2-W1, 9.4.2-P2-W1, and 9.5.0-P2-W1 on Windows allows remote attackers to cause a denial of service (UDP client handler termination) via unknown vectors.",domain,9.4.2
CVE-2012-3817,7.8,HIGH,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-20,"ISC BIND 9.4.x, 9.5.x, 9.6.x, and 9.7.x before 9.7.6-P2; 9.8.x before 9.8.3-P2; 9.9.x before 9.9.1-P2; and 9.6-ESV before 9.6-ESV-R7-P2, when DNSSEC validation is enabled, does not properly initialize the failing-query cache, which allows remote attackers to cause a denial of service (assertion failure and daemon exit) by sending many queries.",domain,9.4.2
CVE-2012-4244,7.8,HIGH,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"ISC BIND 9.x before 9.7.6-P3, 9.8.x before 9.8.3-P3, 9.9.x before 9.9.1-P3, and 9.4-ESV and 9.6-ESV before 9.6-ESV-R7-P3 allows remote attackers to cause a denial of service (assertion failure and named daemon exit) via a query for a long resource record.",domain,9.4.2
CVE-2012-5166,7.8,HIGH,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-189,"ISC BIND 9.x before 9.7.6-P4, 9.8.x before 9.8.3-P4, 9.9.x before 9.9.1-P4, and 9.4-ESV and 9.6-ESV before 9.6-ESV-R7-P4 allows remote attackers to cause a denial of service (named daemon hang) via unspecified combinations of resource records.",domain,9.4.2
CVE-2014-8500,7.8,HIGH,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-399,"ISC BIND 9.0.x through 9.8.x, 9.9.0 through 9.9.6, and 9.10.0 through 9.10.1 does not limit delegation chaining, which allows remote attackers to cause a denial of service (memory consumption and named crash) via a large or infinite number of referrals.",domain,9.4.2
CVE-2015-5477,7.8,HIGH,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-19,named in ISC BIND 9.x before 9.9.7-P2 and 9.10.x before 9.10.2-P3 allows remote attackers to cause a denial of service (REQUIRE assertion failure and daemon exit) via TKEY queries.,domain,9.4.2
CVE-2015-5722,7.8,HIGH,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-20,buffer.c in named in ISC BIND 9.x before 9.9.7-P3 and 9.10.x before 9.10.2-P4 allows remote attackers to cause a denial of service (assertion failure and daemon exit) by creating a zone containing a malformed DNSSEC key and issuing a query for a name in that zone.,domain,9.4.2
CVE-2010-0382,7.6,HIGH,NETWORK,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,"ISC BIND 9.0.x through 9.3.x, 9.4 before 9.4.3-P5, 9.5 before 9.5.2-P2, 9.6 before 9.6.1-P3, and 9.7.0 beta handles out-of-bailiwick data accompanying a secure response without re-fetching from the original source, which allows remote attackers to have an unspecified impact via a crafted response, aka Bug 20819.  NOTE: this vulnerability exists because of a regression during the fix for CVE-2009-4022.",domain,9.4.2
CVE-2009-0265,7.5,HIGH,NETWORK,LOW,NONE,NONE,CWE-252,"Internet Systems Consortium (ISC) BIND 9.6.0 and earlier does not properly check the return value from the OpenSSL EVP_VerifyFinal function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077 and CVE-2009-0025.",domain,9.4.2
CVE-2016-2776,7.5,HIGH,NETWORK,LOW,NONE,NONE,CWE-20,"buffer.c in named in ISC BIND 9 before 9.9.9-P3, 9.10.x before 9.10.4-P3, and 9.11.x before 9.11.0rc3 does not properly construct responses, which allows remote attackers to cause a denial of service (assertion failure and daemon exit) via a crafted query.",domain,9.4.2
CVE-2015-5986,7.1,HIGH,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-20,openpgpkey_61.c in named in ISC BIND 9.9.7 before 9.9.7-P3 and 9.10.x before 9.10.2-P4 allows remote attackers to cause a denial of service (REQUIRE assertion failure and daemon exit) via a crafted DNS response.,domain,9.4.2
CVE-2015-8461,7.1,HIGH,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-362,Race condition in resolver.c in named in ISC BIND 9.9.8 before 9.9.8-P2 and 9.10.3 before 9.10.3-P2 allows remote attackers to cause a denial of service (INSIST assertion failure and daemon exit) via unspecified vectors.,domain,9.4.2
CVE-2015-8705,7.0,HIGH,NETWORK,HIGH,NONE,NONE,CWE-20,"buffer.c in named in ISC BIND 9.10.x before 9.10.3-P3, when debug logging is enabled, allows remote attackers to cause a denial of service (REQUIRE assertion failure and daemon exit, or daemon crash) or possibly have unspecified other impact via (1) OPT data or (2) an ECS option.",domain,9.4.2
CVE-2009-0025,6.8,MEDIUM,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-287,"BIND 9.6.0, 9.5.1, 9.5.0, 9.4.3, and earlier does not properly check the return value from the OpenSSL DSA_verify function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077.",domain,9.4.2
CVE-2016-1285,6.8,MEDIUM,NETWORK,HIGH,NONE,NONE,UNKNOWN,"named in ISC BIND 9.x before 9.9.8-P4 and 9.10.x before 9.10.3-P4 does not properly handle DNAME records when parsing fetch reply messages, which allows remote attackers to cause a denial of service (assertion failure and daemon exit) via a malformed packet to the rndc (aka control channel) interface, related to alist.c and sexpr.c.",domain,9.4.2
CVE-2015-8704,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,CWE-20,"apl_42.c in ISC BIND 9.x before 9.9.8-P3, 9.9.x, and 9.10.x before 9.10.3-P3 allows remote authenticated users to cause a denial of service (INSIST assertion failure and daemon exit) via a malformed Address Prefix List (APL) record.",domain,9.4.2
CVE-2010-3614,6.4,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-20,"named in ISC BIND 9.x before 9.6.2-P3, 9.7.x before 9.7.2-P3, 9.4-ESV before 9.4-ESV-R4, and 9.6-ESV before 9.6-ESV-R3 does not properly determine the security status of an NS RRset during a DNSKEY algorithm rollover, which might allow remote attackers to cause a denial of service (DNSSEC validation error) by triggering a rollover.",domain,9.4.2
CVE-2016-2775,5.9,MEDIUM,NETWORK,HIGH,NONE,NONE,CWE-20,"ISC BIND 9.x before 9.9.9-P2, 9.10.x before 9.10.4-P2, and 9.11.x before 9.11.0b2, when lwresd or the named lwres option is enabled, allows remote attackers to cause a denial of service (daemon crash) via a long request that uses the lightweight resolver protocol.",domain,9.4.2
CVE-2011-1910,5.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-189,"Off-by-one error in named in ISC BIND 9.x before 9.7.3-P1, 9.8.x before 9.8.0-P2, 9.4-ESV before 9.4-ESV-R4-P1, and 9.6-ESV before 9.6-ESV-R4-P1 allows remote DNS servers to cause a denial of service (assertion failure and daemon exit) via a negative response containing large RRSIG RRsets.",domain,9.4.2
CVE-2011-4313,5.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"query.c in ISC BIND 9.0.x through 9.6.x, 9.4-ESV through 9.4-ESV-R5, 9.6-ESV through 9.6-ESV-R5, 9.7.0 through 9.7.4, 9.8.0 through 9.8.1, and 9.9.0a1 through 9.9.0b1 allows remote attackers to cause a denial of service (assertion failure and named exit) via unknown vectors related to recursive DNS queries, error logging, and the caching of an invalid record by the resolver.",domain,9.4.2
CVE-2012-1033,5.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"The resolver in ISC BIND 9 through 9.8.1-P1 overwrites cached server names and TTL values in NS records during the processing of a response to an A record query, which allows remote attackers to trigger continued resolvability of revoked domain names via a ""ghost domain names"" attack.",domain,9.4.2
CVE-2015-8000,5.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-20,db.c in named in ISC BIND 9.x before 9.9.8-P2 and 9.10.x before 9.10.3-P2 allows remote attackers to cause a denial of service (REQUIRE assertion failure and daemon exit) via a malformed class attribute.,domain,9.4.2
CVE-2009-0696,4.3,MEDIUM,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-16,"The dns_db_findrdataset function in db.c in named in ISC BIND 9.4 before 9.4.3-P3, 9.5 before 9.5.1-P3, and 9.6 before 9.6.1-P1, when configured as a master server, allows remote attackers to cause a denial of service (assertion failure and daemon exit) via an ANY record in the prerequisite section of a crafted dynamic update message.",domain,9.4.2
CVE-2010-0097,4.3,MEDIUM,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-20,"ISC BIND 9.0.x through 9.3.x, 9.4 before 9.4.3-P5, 9.5 before 9.5.2-P2, 9.6 before 9.6.1-P3, and 9.7.0 beta does not properly validate DNSSEC (1) NSEC and (2) NSEC3 records, which allows remote attackers to add the Authenticated Data (AD) flag to a forged NXDOMAIN response for an existing domain.",domain,9.4.2
CVE-2010-3762,4.3,MEDIUM,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-20,"ISC BIND before 9.7.2-P2, when DNSSEC validation is enabled, does not properly handle certain bad signatures if multiple trust anchors exist for a single zone, which allows remote attackers to cause a denial of service (daemon crash) via a DNS query.",domain,9.4.2
CVE-2010-0290,4.0,MEDIUM,NETWORK,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in ISC BIND 9.0.x through 9.3.x, 9.4 before 9.4.3-P5, 9.5 before 9.5.2-P2, 9.6 before 9.6.1-P3, and 9.7.0 beta, with DNSSEC validation enabled and checking disabled (CD), allows remote attackers to conduct DNS cache poisoning attacks by receiving a recursive client query and sending a response that contains (1) CNAME or (2) DNAME records, which do not have the intended validation before caching, aka Bug 20737.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2009-4022.",domain,9.4.2
CVE-2009-4022,2.6,LOW,NETWORK,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in ISC BIND 9.0.x through 9.3.x, 9.4 before 9.4.3-P4, 9.5 before 9.5.2-P1, 9.6 before 9.6.1-P2, and 9.7 beta before 9.7.0b3, with DNSSEC validation enabled and checking disabled (CD), allows remote attackers to conduct DNS cache poisoning attacks by receiving a recursive client query and sending a response that contains an Additional section with crafted data, which is not properly handled when the response is processed ""at the same time as requesting DNSSEC records (DO),"" aka Bug 20438.",domain,9.4.2
CVE-2010-0425,10.0,HIGH,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"modules/arch/win32/mod_isapi.c in mod_isapi in the Apache HTTP Server 2.0.37 through 2.0.63, 2.2.0 through 2.2.14, and 2.3.x before 2.3.7, when running on Windows, does not ensure that request processing is complete before calling isapi_unload for an ISAPI .dll module, which allows remote attackers to execute arbitrary code via unspecified vectors related to a crafted request, a reset packet, and ""orphaned callback pointers.""",http,2.2.8
CVE-2009-3555,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,CWE-295,"The TLS protocol, and the SSL protocol 3.0 and possibly earlier, as used in Microsoft Internet Information Services (IIS) 7.0, mod_ssl in the Apache HTTP Server 2.2.14 and earlier, OpenSSL before 0.9.8l, GnuTLS 2.8.5 and earlier, Mozilla Network Security Services (NSS) 3.12.4 and earlier, multiple Cisco products, and other products, does not properly associate renegotiation handshakes with an existing connection, which allows man-in-the-middle attackers to insert data into HTTPS sessions, and possibly other types of sessions protected by TLS or SSL, by sending an unauthenticated request that is processed retroactively by a server in a post-renegotiation context, related to a ""plaintext injection"" attack, aka the ""Project Mogul"" issue.",http,2.2.8
CVE-2011-3192,7.8,HIGH,NETWORK,LOW,NONE,UNKNOWN,CWE-400,"The byterange filter in the Apache HTTP Server 1.3.x, 2.0.x through 2.0.64, and 2.2.x through 2.2.19 allows remote attackers to cause a denial of service (memory and CPU consumption) via a Range header that expresses multiple overlapping ranges, as exploited in the wild in August 2011, a different vulnerability than CVE-2007-0086.",http,2.2.8
CVE-2009-1955,7.5,HIGH,NETWORK,LOW,NONE,NONE,CWE-776,"The expat XML parser in the apr_xml_* interface in xml/apr_xml.c in Apache APR-util before 1.3.7, as used in the mod_dav and mod_dav_svn modules in the Apache HTTP Server, allows remote attackers to cause a denial of service (memory consumption) via a crafted XML document containing a large number of nested entity references, as demonstrated by a PROPFIND request, a similar issue to CVE-2003-1564.",http,2.2.8
CVE-2009-2699,7.5,HIGH,NETWORK,LOW,NONE,NONE,CWE-667,"The Solaris pollset feature in the Event Port backend in poll/unix/port.c in the Apache Portable Runtime (APR) library before 1.3.9, as used in the Apache HTTP Server before 2.2.14 and other products, does not properly handle errors, which allows remote attackers to cause a denial of service (daemon hang) via unspecified HTTP requests, related to the prefork and event MPMs.",http,2.2.8
CVE-2009-1890,7.1,HIGH,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-400,"The stream_reqbody_cl function in mod_proxy_http.c in the mod_proxy module in the Apache HTTP Server before 2.3.3, when a reverse proxy is configured, does not properly handle an amount of streamed data that exceeds the Content-Length value, which allows remote attackers to cause a denial of service (CPU consumption) via crafted requests.",http,2.2.8
CVE-2009-1891,7.1,HIGH,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-400,"The mod_deflate module in Apache httpd 2.2.11 and earlier compresses large files until completion even after the associated network connection is closed, which allows remote attackers to cause a denial of service (CPU consumption).",http,2.2.8
CVE-2009-1956,6.4,MEDIUM,NETWORK,LOW,NONE,UNKNOWN,CWE-189,Off-by-one error in the apr_brigade_vprintf function in Apache APR-util before 1.3.5 on big-endian platforms allows remote attackers to obtain sensitive information or cause a denial of service (application crash) via crafted input.,http,2.2.8
CVE-2008-2364,5.0,MEDIUM,NETWORK,LOW,NONE,UNKNOWN,CWE-770,"The ap_proxy_http_process_response function in mod_proxy_http.c in the mod_proxy module in the Apache HTTP Server 2.0.63 and 2.2.8 does not limit the number of forwarded interim responses, which allows remote HTTP servers to cause a denial of service (memory consumption) via a large number of interim responses.",http,2.2.8
CVE-2009-3095,5.0,MEDIUM,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"The mod_proxy_ftp module in the Apache HTTP Server allows remote attackers to bypass intended access restrictions and send arbitrary commands to an FTP server via vectors related to the embedding of these commands in the Authorization HTTP header, as demonstrated by a certain module in VulnDisco Pack Professional 8.11.",http,2.2.8
CVE-2009-3560,5.0,MEDIUM,NETWORK,LOW,NONE,UNKNOWN,CWE-119,"The big2_toUtf8 function in lib/xmltok.c in libexpat in Expat 2.0.1, as used in the XML-Twig module for Perl, allows context-dependent attackers to cause a denial of service (application crash) via an XML document with malformed UTF-8 sequences that trigger a buffer over-read, related to the doProlog function in lib/xmlparse.c, a different vulnerability than CVE-2009-2625 and CVE-2009-3720.",http,2.2.8
CVE-2009-3720,5.0,MEDIUM,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"The updatePosition function in lib/xmltok_impl.c in libexpat in Expat 2.0.1, as used in Python, PyXML, w3c-libwww, and other software, allows context-dependent attackers to cause a denial of service (application crash) via an XML document with crafted UTF-8 sequences that trigger a buffer over-read, a different vulnerability than CVE-2009-2625.",http,2.2.8
CVE-2010-0408,5.0,MEDIUM,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"The ap_proxy_ajp_request function in mod_proxy_ajp.c in mod_proxy_ajp in the Apache HTTP Server 2.2.x before 2.2.15 does not properly handle certain situations in which a client sends no request body, which allows remote attackers to cause a denial of service (backend server outage) via a crafted request, related to use of a 500 error code instead of the appropriate 400 error code.",http,2.2.8
CVE-2010-1452,5.0,MEDIUM,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,The (1) mod_cache and (2) mod_dav modules in the Apache HTTP Server 2.2.x before 2.2.16 allow remote attackers to cause a denial of service (process crash) via a request that lacks a path.,http,2.2.8
